"Cooperativa","DEPARTAMENTO","PROVINCIA","DISTRITO","GPS_longitude","GPS_latitude","cos_kgha_1","cos_kgha_2","month_floracion","date_start","date_end","date_harvested"
"aprocassi","Cajamarca","San Ignacio","Namballe",-79.0805357,-5.070672,NA,2.17391304347826,"agosto",2022-05-24,2022-05-24,NA
"aprocassi","Cajamarca","San Ignacio","Namballe",-79.0862649,-5.0596489,NA,20,"agosto",2022-05-24,2022-05-24,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0721347,-5.0795239,NA,20,"septiembre",2022-05-23,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0715655,-5.0854987,NA,50,"octubre",2022-05-23,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0790969,-5.0896113,NA,33,"septiembre",2022-05-23,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0742496,-5.0927301,NA,52,"octubre",2022-05-23,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0759844,-5.0983287,NA,30,"septiembre",2022-05-23,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0852031,-5.1405421,NA,6.48550724637681,"octubre",2022-05-20,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.1010175,-5.1425399,NA,52,"octubre",2022-05-20,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.1006026,-5.1382703,NA,19,"octubre",2022-05-20,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0986166,-5.1360548,NA,24,"octubre",2022-05-20,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0924952,-5.1379556,NA,3.6231884057971,"octubre",2022-05-20,2022-05-26,NA
"aprocassi","Cajamarca","San Ignacio","Namballe",-79.0898633,-5.043481,NA,11,"agosto",2022-05-24,2022-05-28,NA
"pangoa","Junin","Satipo","Pangoa",-74.4689161,-11.5602406,NA,7,"agosto",2022-06-08,2022-06-08,2013-05-21
"pangoa","Junin","Satipo","Pangoa",-74.4434741,-11.6919344,NA,30,"septiembre",2022-06-14,2022-06-14,2017-04-18
"pangoa","Junin","Satipo","Pangoa",-74.4265502,-11.6995145,NA,33,"octubre",2022-06-14,2022-06-14,2014-04-25
"pangoa","Junin","Satipo","Pangoa",-74.4130256,-11.7419568,NA,51,"octubre",2022-06-14,2022-06-14,2016-04-18
"pangoa","Junin","Satipo","Pangoa",-74.5000884,-11.5650044,NA,18,"septiembre",2022-06-15,2022-06-16,2016-04-18
"pangoa","Junín","Satipo","PANGOA",-74.49967,-11.5670012,NA,27,"septiembre",2022-06-15,2022-06-15,2014-05-05
"pangoa","Junin","Satipo","Pangoa",-74.4933968,-11.5497476,NA,26,"septiembre",2022-06-15,2022-06-15,2014-05-07
"pangoa","Junin","Satipo","Mazamari",-74.3160364,-11.3385927,NA,60,"octubre",2022-06-16,2022-06-16,2016-04-18
"pangoa","Junín","Satipo","Mazamari",-74.2973863,-11.3424278,NA,2.69927536231884,"octubre",2022-06-16,2022-06-16,2014-04-15
