,Cooperativa,dpto,PROVINCIA,dstr,lon,lat,cos_kgha_1,cos_kgha_2,month_floracion,date_start,date_end,date_hrvs
155,norandino,Piura,Huancabamba,Lalaquiz,-79.6790818,-5.2013442,10,5,noviembre,3/17/2022,3/17/2022,6/10/2022
156,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4813241,-6.1485372,6,6,octubre,3/23/2022,3/25/2022,7/25/2015
157,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4843047,-6.1457737,7.33,11,noviembre,3/23/2022,3/25/2022,8/13/2020
158,norandino,Piura,Huancabamba,Canchaque,-79.6336075,-5.2025413,8,8,octubre,3/12/2022,3/20/2022,5/15/2021
159,norandino,Piura,Huancabamba,Canchaque,-79.6334684,-5.2024051,6,6,octubre,3/12/2022,3/21/2022,6/15/2022
160,norandino,Piura,Huancabamba,Canchaque,-79.6262669,-5.208651,12,30,octubre,3/12/2022,3/20/2022,5/15/2022
161,norandino,Piura,Huancabamba,Canchaque,-79.6373662,-5.2287604,8,8,octubre,3/13/2022,3/20/2022,5/15/2022
162,norandino,Piura,Huancabamba,Canchaque,-79.6373681,-5.2264522,15,15,octubre,3/13/2022,3/21/2022,5/15/2022
163,norandino,Piura,Huancabamba,Canchaque,-79.6188084,-5.1829635,9.6,12,octubre,3/15/2022,3/21/2022,6/15/2022
164,norandino,Piura,Huancabamba,Canchaque,-79.6081323,-5.2087431,15,15,octubre,3/18/2022,3/21/2022,6/15/2022
165,norandino,Piura,Huancabamba,Canchaque,-79.6090807,-5.2090761,14,35,octubre,3/18/2022,3/21/2022,6/15/2022
166,norandino,Piura,Huancabamba,Canchaque,-79.60835,-5.2084946,17,17,octubre,3/18/2022,3/22/2022,6/15/2022
167,norandino,Piura,Huancabamba,Canchaque,-79.6397395,-5.2152466,9.33,7,octubre,3/17/2022,3/21/2022,4/15/2022
168,norandino,Piura,Huancabamba,Canchaque,-79.6408458,-5.2162032,7,7,octubre,3/17/2022,3/21/2022,4/15/2022
169,norandino,Piura,Huancabamba,Canchaque,-79.636106,-5.2099605,10,5,octubre,3/17/2022,3/21/2022,5/15/2022
170,norandino,Piura,Huancabamba,Canchaque,-79.6374027,-5.2112718,12,12,octubre,3/17/2022,3/21/2022,5/15/2022
171,norandino,Piura,Huancabamba,Canchaque,-79.6190206,-5.222574,12,6,octubre,3/18/2022,3/21/2022,6/15/2022
172,norandino,Piura,Huancabamba,Canchaque,-79.6297625,-5.2257416,10,30,octubre,3/19/2022,3/21/2022,5/15/2022
173,norandino,Piura,Huancabamba,Canchaque,-79.6288598,-5.2267558,8,8,octubre,3/19/2022,3/23/2022,5/15/2022
174,norandino,Piura,Huancabamba,Canchaque,-79.628829,-5.2268001,20,20,octubre,3/19/2022,3/23/2022,5/15/2022
175,norandino,Piura,Huancabamba,Canchaque,-79.6289726,-5.2234924,19,19,octubre,3/19/2022,3/23/2022,5/15/2022
176,norandino,Piura,Huancabamba,Canchaque,-79.6310442,-5.2184355,20,40,octubre,3/19/2022,3/24/2022,6/15/2022
177,norandino,Piura,Huancabamba,Canchaque,-79.6184753,-5.209001,22.5,45,octubre,3/20/2022,3/20/2022,NA
178,norandino,Piura,Huancabamba,Canchaque,-79.631615,-5.2183554,16,8,octubre,3/24/2022,3/24/2022,5/15/2022
179,norandino,Piura,Huancabamba,Canchaque,-79.6360328,-5.207938,10,5,septiembre,3/26/2022,3/24/2022,4/15/2022
180,norandino,Piura,Huancabamba,Canchaque,-79.635721,-5.208607,5,5,octubre,3/26/2022,3/24/2022,5/15/2022
181,norandino,Piura,Huancabamba,Canchaque,-79.6347633,-5.2077566,16,8,octubre,3/26/2022,3/24/2022,5/15/2022
182,norandino,Piura,Huancabamba,Canchaque,-79.6341658,-5.2061879,32,8,septiembre,3/26/2022,3/24/2022,5/15/2022
183,norandino,Piura,Huancabamba,Canchaque,-79.6297713,-5.2084803,3.53,3,octubre,3/26/2022,3/24/2022,5/15/2022
184,norandino,Piura,Huancabamba,Canchaque,-79.6276664,-5.2087708,5,5,octubre,3/26/2022,3/24/2022,5/15/2022
185,norandino,Piura,Huancabamba,Canchaque,-79.6274878,-5.2088141,11.67,35,octubre,3/26/2022,3/24/2022,5/15/2022
186,norandino,Piura,Huancabamba,Canchaque,-79.6360847,-5.209407,16,4,octubre,3/27/2022,3/24/2022,5/15/2022
187,norandino,Piura,Huancabamba,Canchaque,-79.6360795,-5.208614,12,18,septiembre,3/27/2022,3/24/2022,5/15/2022
188,norandino,Piura,Huancabamba,Canchaque,-79.6268043,-5.2135754,12.5,25,octubre,3/24/2022,3/24/2022,5/15/2022
189,norandino,Piura,Huancabamba,Canchaque,-79.6272242,-5.2136249,7.5,15,septiembre,3/24/2022,3/24/2022,5/15/2022
190,norandino,Piura,Huancabamba,"Canchaque
",-79.6223058,-5.1922325,14,35,octubre,3/11/2022,3/20/2022,5/15/2022
191,norandino,Piura,Huancabamba,Lalaquiz,-79.699352,-5.1672853,26.67,40,diciembre,3/15/2022,3/22/2022,3/15/2022
192,norandino,Piura,Huancabamba,Lalaquiz,-79.7002823,-5.1679498,10,10,diciembre,3/15/2022,3/22/2022,NA
193,norandino,Piura,Huancabamba,Lalaquiz,-79.700291,-5.1730608,10,5,octubre,3/15/2022,3/22/2022,NA
194,norandino,Piura,Huancabamba,Lalaquiz,-79.6962433,-5.174286,8,8,octubre,3/15/2022,3/22/2022,NA
195,norandino,Piura,Huancabamba,Lalaquiz,-79.6963417,-5.1753288,10,5,octubre,3/16/2022,3/22/2022,NA
196,norandino,Piura,Huancabamba,Lalaquiz,-79.6967699,-5.1753252,10,5,octubre,3/16/2022,3/22/2022,NA
197,norandino,Piura,Huancabamba,Lalaquiz,-79.6968793,-5.1755016,6,3,octubre,3/16/2022,3/22/2022,NA
198,norandino,Piura,Huancabamba,Lalaquiz,-79.6977598,-5.1757524,1.268115942,35,octubre,3/16/2022,3/19/2022,NA
199,norandino,Piura,Huancabamba,Lalaquiz,-79.6965878,-5.1740828,1.449275362,40,octubre,3/16/2022,3/22/2022,NA
200,norandino,Piura,Huancabamba,Lalaquiz,-79.6972821,-5.1692357,36,18,octubre,3/17/2022,3/22/2022,NA
201,norandino,Piura,Huancabamba,Lalaquiz,-79.6925653,-5.1745619,40,20,octubre,3/17/2022,3/22/2022,NA
202,norandino,Piura,Huancabamba,Lalaquiz,-79.6923148,-5.175449,30,15,octubre,3/17/2022,3/22/2022,NA
203,norandino,Piura,Huancabamba,Lalaquiz,-79.6927081,-5.1764238,6,3,octubre,3/17/2022,3/22/2022,NA
204,norandino,Piura,Huancabamba,Lalaquiz,-79.6920776,-5.176292,8,8,octubre,3/17/2022,3/22/2022,NA
205,norandino,Piura,Huancabamba,Lalaquiz,-79.6940307,-5.1743562,14,7,octubre,3/17/2022,3/22/2022,NA
206,norandino,Piura,Huancabamba,Lalaquiz,-79.6982372,-5.1791466,17.14,18,octubre,3/18/2022,3/22/2022,NA
207,norandino,Piura,Huancabamba,Lalaquiz,-79.6983723,-5.1791809,40,40,octubre,3/18/2022,3/19/2022,NA
208,norandino,Piura,Huamcabamba,Lalaquiz,-79.697444,-5.1692995,10,10,octubre,3/19/2022,3/22/2022,NA
209,norandino,Piura,Huamcabamba,Lalaquiz,-79.6974279,-5.1683303,28,14,octubre,3/22/2022,3/22/2022,NA
210,norandino,Piura,Huamcabamba,Lalaquiz,-79.699167,-5.1702732,3.623188406,1.811594203,octubre,3/22/2022,3/22/2022,NA
