"","cell","date_start","date_end","lon","lat","dpto","dstr","date_hrvs","month_floracion","cos_kgha_1","cos_kgha_2"
"408",25857,2022-05-02,2022-05-11,-78.8333891,-5.1744219,"Cajamarca","San José de Lourdes",NA,"octubre",NA,1380
"409",25599,2022-05-03,2022-05-11,-79.0694297,-5.1470327,"Cajamarca","San Ignacio",NA,"septiembre",NA,1104
"410",25599,2022-05-03,2022-05-11,-79.0521836,-5.1488452,"Cajamarca","San Ignacio",NA,"septiembre",NA,2208
"411",25599,2022-05-03,2022-05-11,-79.0525383,-5.1481288,"Cajamarca","San Ignacio",NA,"septiembre",NA,1104
"412",25599,2022-05-03,2022-05-11,-79.0580346,-5.1457078,"Cajamarca","San Ignacio",NA,"octubre",NA,1380
"413",25094,2022-05-04,2022-05-07,-79.0474414,-5.0306925,"Cajamarca","San ignacio",NA,"septiembre",NA,2484
"414",25094,2022-05-04,2022-05-04,-79.0463288,-5.0389139,"Cajamarca","San ignacio",NA,"septiembre",NA,80
"415",25857,2022-05-02,2022-05-05,-78.8455911,-5.1821272,"Cajamarca","San Jose de Louerdes",2016-03-02,"octubre",NA,1656
"416",25857,2022-05-02,2022-05-02,-78.844439,-5.1821596,"Cajamarca","San José de Lourdes",2015-02-04,"octubre",NA,1104
"417",25857,2022-05-02,2022-05-02,-78.8464988,-5.180502,"Cajamarca","San José de Lourdes",2015-02-03,"octubre",NA,1380
"418",25857,2022-05-02,2022-05-02,-78.8472587,-5.1813481,"Cajamarca","San José de Lourdes",2011-05-02,"octubre",NA,1711.2
"419",25857,2022-05-02,2022-05-02,-78.8479747,-5.1823076,"Cajamarca","San José de Lourdes",2010-05-02,"octubre",NA,1104
"420",25599,2022-05-03,2022-05-03,-79.0585436,-5.1453317,"Cajamarca","San Ignacio",2018-03-14,"noviembre",NA,1104
"421",25599,2022-05-03,2022-05-03,-79.0561469,-5.1476958,"Cajamarca","San Ignacio",2011-05-03,"noviembre",NA,1214.4
"422",25599,2022-05-03,2022-05-03,-79.0551503,-5.1494693,"Cajamarca","San Ignacio",2015-05-03,"noviembre",NA,1766.4
"423",25852,2022-05-03,2022-05-04,-79.0543957,-5.1513339,"Cajamarca","San Ignacio",2019-05-03,"noviembre",NA,1656
"424",25857,2022-05-02,2022-05-02,-78.8462777,-5.1797457,"Cajamarca","San José de Lourdes",2014-02-04,"octubre",NA,1656
"425",25857,2022-05-02,2022-05-09,-78.8344375,-5.1756051,"Cajamarca","San José de Lourdes",2015-02-11,"agosto",NA,1656
"426",25347,2022-05-09,2022-05-09,-79.0491585,-5.0956486,"Cajamarca","San Ignacio",2015-03-10,"septiembre",NA,1656
"427",25347,2022-05-09,2022-05-14,-79.0486816,-5.0947529,"Cajamarca","San Ignacio",2012-03-13,"septiembre",NA,1380
"428",25347,2022-05-09,2022-05-09,-79.0494869,-5.0878079,"Cajamarca","San Ignacio",2014-03-18,"septiembre",NA,1104
"429",25346,2022-05-09,2022-05-14,-79.0515308,-5.0858243,"Cajamarca","San Ignacio",NA,"septiembre",NA,100
"430",25600,2022-05-09,2022-05-14,-79.0442319,-5.1080679,"Cajamarca","San Ignacio",NA,"septiembre",NA,1656
"431",25346,2022-05-04,2022-05-11,-79.0516816,-5.0562296,"Cajamarca","San Ignacio",2015-04-14,"septiembre",NA,2263.2
"432",25094,2022-05-04,2022-05-11,-79.0494641,-5.0414651,"Cajamarca","San Ignacio",2019-03-12,"octubre",NA,1656
"433",25094,2022-05-04,2022-05-11,-79.0491249,-5.0425275,"Cajamarca","San Ignacio",NA,"septiembre",NA,552
"434",25856,2022-05-05,2022-05-07,-78.8773187,-5.1874254,"Cajamarca","San Jose de Lourdes",NA,"septiembre",NA,80
"435",25856,2022-05-05,2022-05-17,-78.8635651,-5.1993813,"Cajamarca","Sanjose de lourdes",NA,"septiembre",NA,1656
"436",25347,2022-05-09,2022-05-11,-79.0465913,-5.0886497,"Cajamarca","San ignacio",NA,"octubre",NA,2208
"437",26109,2022-05-05,2022-05-11,-78.8619476,-5.2013349,"Cajamarca","San Jose de Lourdes",NA,"agosto",NA,1656
"438",26109,2022-05-05,2022-05-11,-78.8633482,-5.2004749,"Cajamarca","San Jose de Lourdes",2014-04-15,"septiembre",NA,2208
"439",26109,2022-05-05,2022-05-11,-78.8633035,-5.2004556,"Cajamarca","San Jose de Lourdes",NA,"octubre",NA,2208
"440",25856,2022-05-05,2022-05-11,-78.866124,-5.1994813,"Cajamarca","San jose de lourdes",NA,"septiembre",NA,120
"441",25347,2022-05-09,2022-05-09,-79.0344294,-5.0534925,"Cajamarca","San ignacio",NA,"septiembre",NA,1380
"442",26108,2022-05-10,2022-05-11,-78.9030268,-5.2272572,"Cajamarca","Chirinos",NA,"octubre",NA,1104
"443",26109,2022-05-05,2022-05-11,-78.863295,-5.2011816,"Cajamarca","San jose de lourdes",NA,"septiembre",NA,80
"444",25856,2022-05-05,2022-05-11,-78.8644888,-5.1971984,"Cajamarca","San jose de lourdes",NA,"septiembre",NA,78
"445",25347,2022-05-09,2022-05-11,-79.0458106,-5.0657619,"Cajamarca","San ignacio",NA,"octubre",NA,2760
"446",26108,2022-05-10,2022-05-11,-78.9160683,-5.2343807,"Cajamarca","Chirinos",NA,"septiembre",NA,1656
"447",26108,2022-05-10,2022-05-11,-78.9155202,-5.2349994,"Cajamarca","Chirinos",NA,"septiembre",NA,2208
"448",26108,2022-05-10,2022-05-11,-78.9177952,-5.229281,"Cajamarca","Chirinos",NA,"octubre",NA,2208
"449",26108,2022-05-10,2022-05-11,-78.9211135,-5.2300466,"Cajamarca","Chirinos",NA,"octubre",NA,2484
"450",26108,2022-05-10,2022-05-11,-78.9171421,-5.2267236,"Cajamarca","Chirinos",NA,"octubre",NA,2208
"451",25599,2022-05-11,2022-05-17,-79.0628842,-5.1374699,"Cajamarca","San Ignacio",2015-03-10,"octubre",NA,90
"452",25599,2022-05-11,2022-05-17,-79.0602948,-5.1367356,"Cajamarca","San Ignacio",NA,"noviembre",NA,90
"453",25094,2022-05-04,2022-05-11,-79.0369084,-5.0258953,"Cajamarca","San Ignacio",2018-03-14,"septiembre",NA,1932
"454",25094,2022-05-04,2022-05-11,-79.0334305,-5.0268171,"Cajamarca","San Ignacio",2015-03-10,"octubre",NA,1545.6
"455",26109,2022-05-05,2022-05-11,-78.8583399,-5.2066329,"Cajamarca","San José de Lourdes",2015-03-08,"octubre",NA,2760
"456",26109,2022-05-05,2022-05-11,-78.8585467,-5.2060229,"Cajamarca","San José de Lourdes",2015-03-04,"octubre",NA,1656
"457",26109,2022-05-05,2022-05-11,-78.8660392,-5.2014271,"Cajamarca","San José de Lourdes",2015-03-12,"octubre",NA,3312
"458",26109,2022-05-05,2022-05-11,-78.8648483,-5.2019168,"Cajamarca","San José de Lourdes",2014-02-04,"septiembre",NA,3091.2
"459",25856,2022-05-05,2022-05-11,-78.866615,-5.1986259,"Cajamarca","San José de Lourdes",2015-03-03,"septiembre",NA,1545.6
"460",25600,2022-05-23,2022-05-23,-79.0432248,-5.1334522,"Cajamarca","San Ignacio",NA,"agosto",NA,1932
"461",25346,2022-05-23,2022-05-23,-79.0837241,-5.0958985,"Cajamarca","San Ignacio",NA,"agosto",NA,90
"462",25346,2022-05-23,2022-05-23,-79.082424,-5.0937121,"Cajamarca","San Ignacio",NA,"agosto",NA,2208
"463",25346,2022-05-23,2022-05-23,-79.075407,-5.0989704,"Cajamarca","San Ignacio",NA,"agosto",NA,70
"464",25346,2022-05-24,2022-05-24,-79.0606297,-5.0949784,"Cajamarca","San Ignacio",NA,"septiembre",NA,80
"465",25346,2022-05-24,2022-05-24,-79.0805357,-5.070672,"Cajamarca","Namballe",NA,"agosto",NA,120
"466",25346,2022-05-24,2022-05-24,-79.0862649,-5.0596489,"Cajamarca","Namballe",NA,"agosto",NA,1104
"467",25346,2022-05-23,2022-05-26,-79.0721347,-5.0795239,"Cajamarca","San Ignacio",NA,"septiembre",NA,1104
"468",25346,2022-05-23,2022-05-26,-79.0715655,-5.0854987,"Cajamarca","San Ignacio",NA,"octubre",NA,2760
"469",25346,2022-05-23,2022-05-26,-79.0790969,-5.0896113,"Cajamarca","San Ignacio",NA,"septiembre",NA,1821.6
"470",25346,2022-05-23,2022-05-26,-79.0742496,-5.0927301,"Cajamarca","San Ignacio",NA,"octubre",NA,2870.4
"471",25346,2022-05-23,2022-05-26,-79.0759844,-5.0983287,"Cajamarca","San Ignacio",NA,"septiembre",NA,1656
"472",25599,2022-05-20,2022-05-26,-79.0852031,-5.1405421,"Cajamarca","San Ignacio",NA,"octubre",NA,358
"473",25598,2022-05-20,2022-05-26,-79.1010175,-5.1425399,"Cajamarca","San Ignacio",NA,"octubre",NA,2870.4
"474",25598,2022-05-20,2022-05-26,-79.1006026,-5.1382703,"Cajamarca","San Ignacio",NA,"octubre",NA,1048.8
"475",25599,2022-05-20,2022-05-26,-79.0986166,-5.1360548,"Cajamarca","San Ignacio",NA,"octubre",NA,1324.8
"476",25599,2022-05-20,2022-05-26,-79.0924952,-5.1379556,"Cajamarca","San Ignacio",NA,"octubre",NA,200
